Mouse.gene.name	Mouse.gene.stable.ID	Trait_name	P.VALUE	mapped_genes_human
Ncam1	ENSMUSG00000039542	neuroticism	3e-11	NCAM1
Ncan	ENSMUSG00000002341	bipolar disorder	2e-9	NCAN
Nck1	ENSMUSG00000032475	neuroticism	3e-11	NCK1
Ndufaf2	ENSMUSG00000068184	Parkinson's disease	5e-15	NDUFAF2
Nfatc3	ENSMUSG00000031902	schizophrenia	2e-8	NFATC3
Nfic	ENSMUSG00000055053	Alzheimer's disease	2e-8	NFIC
Nfix	ENSMUSG00000001911	bipolar disorder	6e-10	NFIX
Ngef	ENSMUSG00000026259	autism spectrum disorder	1e-8	NGEF
Ngef	ENSMUSG00000026259	schizophrenia	1e-8	NGEF
Nkain3	ENSMUSG00000055761	Alzheimer's disease	8e-9	NKAIN3
Nkapl	ENSMUSG00000059395	schizophrenia	7e-12	NKAPL
Nos1	ENSMUSG00000029361	neuroticism	8e-11	NOS1
Nos1	ENSMUSG00000029361	schizophrenia	2e-8	NOS1
Notch4	ENSMUSG00000015468	autism spectrum disorder	4e-14	NOTCH4
Notch4	ENSMUSG00000015468	schizophrenia	4e-14	NOTCH4
Nrgn	ENSMUSG00000053310	autism spectrum disorder	5e-13	NRGN
Nrgn	ENSMUSG00000053310	schizophrenia	5e-13	NRGN
Nsf	ENSMUSG00000034187	neuroticism	3e-20	NSF
Nsf	ENSMUSG00000034187	Parkinson's disease	1e-14	NSF
Nt5c2	ENSMUSG00000025041	autism spectrum disorder	4e-14	NT5C2
Nt5c2	ENSMUSG00000025041	schizophrenia	4e-17	NT5C2
Olfm4	ENSMUSG00000022026	unipolar depression	6e-19	OLFM4
Olfr110	ENSMUSG00000090894	autism spectrum disorder	3e-12	OR5V1
Olfr110	ENSMUSG00000090894	schizophrenia	3e-12	OR5V1
Olfr110	ENSMUSG00000090894	unipolar depression	1e-12	OR5V1
Olfr111	ENSMUSG00000090675	autism spectrum disorder	3e-12	OR5V1
Olfr111	ENSMUSG00000090675	schizophrenia	3e-12	OR5V1
Olfr111	ENSMUSG00000090675	unipolar depression	1e-12	OR5V1
Orc4	ENSMUSG00000026761	neuroticism	3e-13	ORC4
Pafah1b1	ENSMUSG00000020745	neuroticism	1e-11	PAFAH1B1
Pak6	ENSMUSG00000074923	schizophrenia	4e-9	PAK6, BUB1B-PAK6
Pax5	ENSMUSG00000014030	unipolar depression	1e-8	PAX5
Pbrm1	ENSMUSG00000042323	schizophrenia	5e-13	PBRM1
Pbx2	ENSMUSG00000034673	autism spectrum disorder	2e-12	PBX2
Pbx2	ENSMUSG00000034673	schizophrenia	2e-12	PBX2
Pccb	ENSMUSG00000032527	neuroticism	3e-14	PCCB
Pcdh15	ENSMUSG00000052613	extraversion	5e-10	PCDH15
Pcdh9	ENSMUSG00000055421	unipolar depression	2e-8	PCDH9
Pclo	ENSMUSG00000061601	unipolar depression	3e-8	PCLO
Pde7b	ENSMUSG00000019990	Alzheimer's disease	1e-8	PDE7B
Pepd	ENSMUSG00000063931	schizophrenia	3e-8	PEPD
Phf14	ENSMUSG00000029629	Alzheimer's disease	1e-8	PHF14
Picalm	ENSMUSG00000039361	Alzheimer's disease	2e-8	PICALM
Plcg2	ENSMUSG00000034330	Alzheimer's disease	5e-10	PLCG2
Plch2	ENSMUSG00000029055	schizophrenia	9e-10	PLCH2
Plcl2	ENSMUSG00000038910	neuroticism	4e-11	PLCL2
Ppp1r13b	ENSMUSG00000021285	autism spectrum disorder	2e-9	PPP1R13B
Ppp1r13b	ENSMUSG00000021285	schizophrenia	2e-9	PPP1R13B
Ppp1r16b	ENSMUSG00000037754	schizophrenia	1e-11	PPP1R16B
Ppp2r3a	ENSMUSG00000043154	neuroticism	2e-12	PPP2R3A
Ppp5c	ENSMUSG00000003099	neuroticism	3e-8	PPP5C
Prkd1	ENSMUSG00000002688	schizophrenia	1e-8	PRKD1
Prkg1	ENSMUSG00000052920	autism spectrum disorder	3e-8	PRKG1
Prkg1	ENSMUSG00000052920	schizophrenia	3e-8	PRKG1
Prox2	ENSMUSG00000042320	neuroticism	6e-9	PROX2
Prrc2a	ENSMUSG00000024393	autism spectrum disorder	2e-12	PRRC2A
Prrc2a	ENSMUSG00000024393	schizophrenia	2e-12	PRRC2A
Ptch1	ENSMUSG00000021466	neuroticism	3e-14	PTCH1
Ptk2b	ENSMUSG00000059456	Alzheimer's disease	6e-16	PTK2B
Ptprf	ENSMUSG00000033295	schizophrenia	3e-9	PTPRF
Ptprg	ENSMUSG00000021745	Alzheimer's disease	4e-8	PTPRG
Qpct	ENSMUSG00000024084	schizophrenia	7e-9	QPCT
Rab27b	ENSMUSG00000024511	unipolar depression	3e-8	RAB27B
Ranbp2	ENSMUSG00000003226	Alzheimer's disease	4e-8	RANBP2
Rassf1	ENSMUSG00000010067	schizophrenia	3e-8	RASSF1
Rbfox1	ENSMUSG00000008658	Alzheimer's disease	4e-10	RBFOX1
Rbfox1	ENSMUSG00000008658	neuroticism	8e-11	RBFOX1
Rbfox1	ENSMUSG00000008658	unipolar depression	7e-9	RBFOX1
Rbks	ENSMUSG00000029136	schizophrenia	3e-8	RBKS
Renbp	ENSMUSG00000031387	schizophrenia	4e-8	RENBP
Rere	ENSMUSG00000039852	autism spectrum disorder	7e-9	RERE
Rere	ENSMUSG00000039852	neuroticism	2e-8	RERE
Rere	ENSMUSG00000039852	schizophrenia	5e-11	RERE
Rere	ENSMUSG00000039852	unipolar depression	2e-9	RERE
Rft1	ENSMUSG00000052395	autism spectrum disorder	4e-8	RFT1
Rft1	ENSMUSG00000052395	schizophrenia	4e-8	RFT1
Rgs6	ENSMUSG00000021219	autism spectrum disorder	2e-9	RGS6
Rgs6	ENSMUSG00000021219	schizophrenia	5e-11	RGS6
Rit2	ENSMUSG00000057455	Parkinson's disease	6e-16	RIT2
Rpp21	ENSMUSG00000024446	neuroticism	8e-9	RPP21
Rps6kl1	ENSMUSG00000019235	neuroticism	4e-11	RPS6KL1
Rsrc1	ENSMUSG00000034544	unipolar depression	3e-9	RSRC1
Sap30l	ENSMUSG00000020519	Alzheimer's disease	1e-8	SAP30L
Satb2	ENSMUSG00000038331	schizophrenia	9e-10	SATB2
Sbf2	ENSMUSG00000038371	neuroticism	3e-9	SBF2
Scn2a	ENSMUSG00000075318	Parkinson's disease	3e-8	SCN2A
Sdccag8	ENSMUSG00000026504	schizophrenia	4e-9	SDCCAG8
Sema3a	ENSMUSG00000028883	unipolar depression	2e-11	SEMA3A
Sema6d	ENSMUSG00000027200	neuroticism	5e-11	SEMA6D
Sestd1	ENSMUSG00000042272	bipolar disorder	3e-8	SESTD1
Sfta2	ENSMUSG00000090509	autism spectrum disorder	8e-20	SFTA2
Sfta2	ENSMUSG00000090509	schizophrenia	8e-20	SFTA2
Sgcd	ENSMUSG00000020354	schizophrenia	7e-9	SGCD
Sgip1	ENSMUSG00000028524	unipolar depression	1e-8	SGIP1
Sh3gl2	ENSMUSG00000028488	Parkinson's disease	5e-13	SH3GL2
Shisa9	ENSMUSG00000022494	unipolar depression	2e-8	SHISA9
Siglech	ENSMUSG00000051504	Alzheimer's disease	2e-9	CD33
Sipa1l2	ENSMUSG00000001995	Parkinson's disease	8e-13	SIPA1L2
Slc17a3	ENSMUSG00000036083	schizophrenia	3e-20	SLC17A3
Slc2a13	ENSMUSG00000036298	Parkinson's disease	8e-12	SLC2A13
Slc30a9	ENSMUSG00000029221	unipolar depression	3e-9	SLC30A9
Slc39a8	ENSMUSG00000053897	schizophrenia	2e-12	SLC39A8
Slc9b1	ENSMUSG00000050150	schizophrenia	3e-8	SLC9B1
Snap91	ENSMUSG00000033419	schizophrenia	2e-13	SNAP91
Snca	ENSMUSG00000025889	Parkinson's disease	2e-16	SNCA
Sorcs3	ENSMUSG00000063434	neuroticism	6e-11	SORCS3
Sorcs3	ENSMUSG00000063434	unipolar depression	7e-10	SORCS3
Sorl1	ENSMUSG00000049313	Alzheimer's disease	1e-14	SORL1
Sox5	ENSMUSG00000041540	unipolar depression	3e-8	SOX5
Sox6	ENSMUSG00000051910	neuroticism	2e-8	SOX6
Spats2l	ENSMUSG00000038305	schizophrenia	3e-10	SPATS2L
Specc1	ENSMUSG00000042331	schizophrenia	4e-8	SPECC1
Spi1	ENSMUSG00000002111	neuroticism	5e-15	SPI1
